VAR,X,Y,Z,TOTAL,HALO
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.65624,0.665111
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.45231,0.603859
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.48154,0.612623
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.4968,0.63004
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.47118,0.614802
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.65373,0.639471
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.02479,0.704414
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.14755,0.704078
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.18777,0.732203
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.0283,0.633719
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.66175,0.674508
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.49278,0.641176
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.43974,0.62683
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.43761,0.616997
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.28453,0.576576
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.49275,0.594245
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.80119,0.630533
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.98945,0.663491
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,4.00063,0.665365
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.98641,0.679151
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.92134,0.626087
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.35138,0.602878
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.5387,0.599899
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.2608,0.608196
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.15484,0.543706
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.20231,0.566527
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.20081,0.557533
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.18558,0.565513
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.20501,0.56972
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.29605,0.57041
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.48963,0.579461
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.6597,0.616512
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.98048,0.658704
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.99864,0.68066
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,4.01481,0.683245
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.92423,0.632605
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.66641,0.627023
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.24291,0.596671
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.52605,0.601817
